ID,Created,Name,Description,Playlist URL
0716be7552f548e5b200927ea345a5c9,2025-07-27T05:09:54Z,Dance IF nobody's watching. ,Songs you are embarrassed to like,https://open.spotify.com/playlist/3FPdFaV1VWL6rO2YqcBb7K
9b18aa1f901d4595a8c98ace9af47820,2025-07-27T05:10:49Z,Movie Stars,Songs that remind you of a movie,https://open.spotify.com/playlist/1Np8pUU7gt3Cl1jRuk6tP0
95d1449eec6e462cb4c4651fc24e1526,2025-07-27T05:10:57Z,Hit then quit it,Best one hit wonders,https://open.spotify.com/playlist/79X4PajPVJ90tnCNqUesoI
8c389bb053ba4c54867ec8c56080d251,2025-07-27T05:10:06Z,Finding Emos,Emo songs from the early 2000's,https://open.spotify.com/playlist/4BJwXovn6SElCPONm4XdCb
01a69d71ead747edbbc473ccd9d9aa2e,2025-07-27T05:10:42Z,I like big butts and a can of limes,Add the wrong lyrics as a comment for your song or it don't count! ,https://open.spotify.com/playlist/7vtaCEQcUjcc6XVcVIXuvZ
f6e683c9bdd447b0b5a182edc8e07e80,2025-07-27T05:10:45Z,Turn that Sh!# down!,Songs you always skip or change the channel when they come on,https://open.spotify.com/playlist/0bLewBZIob6iAlBYyYTikG
f61120f31b1947f399edc8cab6fbb0e0,2025-07-27T05:10:53Z,Most likely to....,Songs from the year your graduated from something,https://open.spotify.com/playlist/2xWEzxDxoutMfF9nMjIXfu
5342aa1cf5ea48f3b041786e81ccb58c,2025-07-27T05:10:39Z,Nada de ingles,Songs in languages other than English,https://open.spotify.com/playlist/4EhQ0OQCE9scdGg5U6Dv2s
b9ed1cd9b8884dc49e3afd3cf4d2f316,2025-07-27T05:11:24Z,Eh for effort,Songs you wish you like but don't,https://open.spotify.com/playlist/1z8Z16vMWV8stNF5GoLHRW
