ID,Created,Name,Description,Playlist URL
d1250619c349456590ad9fe59e1020fc,2025-12-12T08:11:45Z,Deep Cuts,"Songs that are not well-known by artists who are very well-known*
*mom and dad should have heard of the artist, or, if they have not heard of the artist, you could legitimately say to mom and dad ""i can't believe you've never heard of them"" 

Theme provided by Jordan",https://open.spotify.com/playlist/72nvDA3d8wo6l76qV8MO4p
507f34716cd3466484a9eaad0e3ace4a,2025-12-12T20:18:59Z,Get In Gear,"Songs that mention cars in the lyrics

Theme provided by Jerry ",https://open.spotify.com/playlist/5BAGqASxeRcmzZ8aLEEbVU
